date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,159950.0,3.72,7,"LaGrange, GA-AL",584.0,89.0,0,Jul-2016
2016-08-01,1,143051.0,3.73,8,"LaGrange, GA-AL",463.0,80.0,0,Aug-2016
2016-09-01,2,147350.0,3.66,9,"LaGrange, GA-AL",447.0,83.0,0,Sep-2016
2016-10-01,3,140602.0,3.64,10,"LaGrange, GA-AL",457.0,82.0,0,Oct-2016
2016-11-01,4,147425.0,3.66,11,"LaGrange, GA-AL",470.0,81.0,0,Nov-2016
2016-12-01,5,139900.0,3.48,12,"LaGrange, GA-AL",467.0,93.0,0,Dec-2016
2017-01-01,6,143613.0,3.45,1,"LaGrange, GA-AL",431.0,102.0,0,Jan-2017
2017-02-01,7,139100.0,3.5,2,"LaGrange, GA-AL",451.0,96.0,0,Feb-2017
2017-03-01,8,138950.0,3.52,3,"LaGrange, GA-AL",441.0,73.0,0,Mar-2017
2017-04-01,9,139900.0,4.03,4,"LaGrange, GA-AL",437.0,73.0,0,Apr-2017
2017-05-01,10,148150.0,4.32,5,"LaGrange, GA-AL",431.0,77.0,0,May-2017
2017-06-01,11,148175.0,4.2,6,"LaGrange, GA-AL",436.0,78.0,0,Jun-2017
2017-07-01,12,160200.0,4.19,7,"LaGrange, GA-AL",435.0,74.0,0,Jul-2017
2017-08-01,13,149950.0,4.3,8,"LaGrange, GA-AL",450.0,79.0,0,Aug-2017
2017-09-01,14,149900.0,4.1,9,"LaGrange, GA-AL",441.0,81.0,0,Sep-2017
2017-10-01,15,147625.0,4.05,10,"LaGrange, GA-AL",424.0,89.0,0,Oct-2017
2017-11-01,16,148450.0,3.94,11,"LaGrange, GA-AL",423.0,93.0,0,Nov-2017
2017-12-01,17,146450.0,4.03,12,"LaGrange, GA-AL",393.0,107.0,0,Dec-2017
2018-01-01,18,149100.0,3.93,1,"LaGrange, GA-AL",357.0,114.0,0,Jan-2018
2018-02-01,19,149925.0,3.83,2,"LaGrange, GA-AL",343.0,100.0,0,Feb-2018
2018-03-01,20,159900.0,3.94,3,"LaGrange, GA-AL",348.0,60.0,0,Mar-2018
2018-04-01,21,169800.0,3.95,4,"LaGrange, GA-AL",379.0,59.0,0,Apr-2018
2018-05-01,22,170950.0,3.99,5,"LaGrange, GA-AL",377.0,58.0,0,May-2018
2018-06-01,23,169900.0,4.15,6,"LaGrange, GA-AL",386.0,64.0,0,Jun-2018
2018-07-01,24,171625.0,4.4,7,"LaGrange, GA-AL",421.0,68.0,0,Jul-2018
2018-08-01,25,162375.0,4.46,8,"LaGrange, GA-AL",418.0,71.0,0,Aug-2018
